"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"scp2b",110.196159264691,48.7496694639447,3.59326936685323,2.86192194813076,0,0,1.96185949845054,12.4770461409006,29.2324884701927,0.841349852305039,5.4193364872609,3.47795396198611
"scpep1",94.7300316485936,35.5024766748293,68.2721179702113,85.14217795689,0,0,9.80929749225271,45.7491691833021,211.271166670938,0.841349852305039,15.1741421643305,16.520281319434
"scrib",3.86653190402423,7.41842796190462,3.59326936685323,1.43096097406538,0,0,11.7711569907033,33.2721230424015,95.0055875281263,4.2067492615252,4.33546918980872,1.73897698099305
"scrn2",1.93326595201211,21.7253961741493,2.69495202513992,5.00836340922882,0,0,3.92371899690109,0,20.5956168767267,3.36539940922016,1.08386729745218,1.73897698099305
"scrn3",336.388275650108,110.746531717005,5.38990405027984,3.57740243516345,16.4207407406827,20.3515883702709,0,8.31803076060038,11.9587452832607,0.841349852305039,2.16773459490436,4.34744245248264
"scrt2",21.2659254721333,29.6737118476185,6.28822139199315,27.1882585072422,5.71156199675922,14.2894131110413,23.5423139814065,0,0,6.73079881844031,4.33546918980872,4.34744245248264
"scube1",5.79979785603634,27.0242732897954,35.034376326819,4.29288292219613,0,0,3.92371899690109,54.0671999439025,76.4030948652764,3.36539940922016,6.50320378471308,3.47795396198611
"scube3",1.93326595201211,20.66562075102,3.59326936685323,0.715480487032689,0,0,1.96185949845054,4.15901538030019,45.1774821812069,1907.34011517552,3441.27866941067,5228.23429335562
"scyl3",40.5985849922544,26.4943855782308,26.9495202513992,5.00836340922882,0,0,0,4.15901538030019,23.9174905665213,1.68269970461008,1.08386729745218,3.47795396198611
"sdad1",1.93326595201211,14.8368559238092,4.49158670856653,1.43096097406538,2.85578099837961,18.6195382962053,1.96185949845054,24.9540922818012,18.6024926628499,2.52404955691512,2.16773459490436,4.34744245248264
"sdc2",9.66632976006057,3.1793262693877,17.0680294925528,16.4560512017518,23.5601932366318,15.1554381480741,17.6567354860549,20.795076901501,101.649334907716,13.4615976368806,16.2580094617827,12.1728388669514
"sdcbp2",1.93326595201211,13.2471927891154,9.88149075884638,0.715480487032689,0,0,13.7330164891538,8.31803076060038,57.8006022024265,188.462366916329,152.825288940757,192.156956399733
"sdccag8",17.399393568109,29.1438241360539,4.49158670856653,2.86192194813076,62.1132367147565,45.4663144442223,35.3134709721098,37.4311384227017,7.9724968555071,7.57214867074535,0,5.21693094297916
"sdf2",1.93326595201211,15.8966313469385,0.898317341713307,2.86192194813076,0,0,15.6948759876043,12.4770461409006,9.30124633142495,0.841349852305039,2.16773459490436,1.73897698099305
"sdf2l1",25.1324573761575,28.6139364244893,0.898317341713307,1.43096097406538,0,0,5.88557849535163,4.15901538030019,5.97937264163033,0,0,0
"sdf4",0,0,15.2713948091262,5.72384389626151,20.7044122382522,19.0525508147217,17.6567354860549,45.7491691833021,154.79931394443,5.04809911383024,17.3418767592349,6.08641943347569
"sdha",0,0,8.98317341713307,0.715480487032689,0,0,25.5041734798571,4.15901538030019,73.0812211754818,9.25484837535543,16.2580094617827,13.9118158479444
"sdhaf2",104.396361408654,50.3393325986385,51.2040884776585,64.393243832942,24.2741384862267,32.4759388887302,3.92371899690109,0,43.8487327052891,108.53413094735,119.22540271974,99.1216879166041
"sdhaf3",0,0,0,1.43096097406538,0,0,9.80929749225271,0,1.32874947591785,0.841349852305039,5.4193364872609,0.869488490496527
"sdk1b",1.93326595201211,20.1357330394554,0,2.14644146109807,0,0,1.96185949845054,4.15901538030019,3.32187368979463,0.841349852305039,0,0
"sdr39u1",179.793733537127,64.6463008108831,0,0,0,0,0,0,5.97937264163033,0,1.08386729745218,2.60846547148958
"sdr42e2",40.5985849922544,31.793262693877,0,1.43096097406538,289.86177133553,184.030320369471,0,0,0,348.318838854286,304.566710584063,294.756598278323
"sdsl",28.9989892801817,32.3231504054416,1.79663468342661,5.72384389626151,0,0,0,0,0.664374737958925,1.68269970461008,1.08386729745218,2.60846547148958
"sec11a",9.66632976006057,5.82876482721078,9.88149075884638,0.715480487032689,0,0,1.96185949845054,12.4770461409006,53.814353774673,1.68269970461008,3.25160189235654,5.21693094297916
