gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class
rx1,3.88729683371985,0.0784908586455592,1.05574697226938,0.915574214362014,NA,Mz_vs_rest,Not significant,Mz,rx1,rx1,Retinal regulation,FALSE,Not significant,rx1,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
gngt1,230.427175935877,-9.42945434687122,1.58471899194673,4.89937283114011e-10,3.34162352072633e-8,Nb_vs_rest,Other species higher,Nb,gngt1,gngt1,Phototransduction,TRUE,Nb lower,gngt1,gngt1,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
arr3a,265.827696270724,-9.64405864016328,1.6955329831587,2.11575095350692e-9,1.06858813980919e-7,Nb_vs_rest,Other species higher,Nb,arr3a,arr3a,Photoreceptor recovery,TRUE,Nb lower,arr3a,arr3a,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
guca1c,435.620949827032,-9.86739576374109,1.77751880090901,4.19274904047739e-9,1.90103053085282e-7,Nb_vs_rest,Other species higher,Nb,guca1c,guca1c,Photoreceptor recovery,TRUE,Nb lower,guca1c,guca1c,yellow,-0.5524483624880374,0.2554416259529368,Nb lower,FALSE,DE only
opn1sw2,401.773466733748,-9.1036467391643,1.76339949445299,4.76762939437237e-8,1.27670075728495e-6,Nb_vs_rest,Other species higher,Nb,opn1sw2,opn1sw2,Opsin / photopigment,TRUE,Nb lower,opn1sw2,opn1sw2,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,DE only
guca1b,91.2242424948658,-8.33213222557982,1.6347532084892,8.9931729618945e-8,2.14725317062774e-6,Nb_vs_rest,Other species higher,Nb,guca1b,guca1b,Photoreceptor recovery,TRUE,Nb lower,guca1b,guca1b,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
guca1a,24.0699651560929,-7.24749317803022,1.62024801142182,2.76501905862207e-6,3.38417976806812e-5,Nb_vs_rest,Other species higher,Nb,guca1a,guca1a,Photoreceptor recovery,TRUE,Nb lower,guca1a,guca1a,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
pde6c,46.0198659559165,-7.48111156482011,1.78055808086031,8.64336336203583e-6,8.2307923185019e-5,Nb_vs_rest,Other species higher,Nb,pde6c,pde6c,Phototransduction,TRUE,Nb lower,pde6c,pde6c,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
crx,17.0648031336895,-6.87673628990066,1.67485065629027,1.57953255193852e-5,1.3015651607875e-4,Nb_vs_rest,Other species higher,Nb,crx,crx,Photoreceptor regulation,TRUE,Nb lower,crx,crx,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,DE only
cnga3a,16.6158102651795,-6.69486108108418,1.65449739141619,2.14345045686227e-5,1.6688801558113e-4,Nb_vs_rest,Other species higher,Nb,cnga3a,cnga3a,CNG channel,TRUE,Nb lower,cnga3a,cnga3a,black,-0.510104756601962,0.26583297576755593,Nb lower,FALSE,DE only
