Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000547	30	46
ENSHBUG00000000548	19	42
ENSHBUG00000000549	1	43
ENSHBUG00000000550	0	0
ENSHBUG00000000551	65	74
ENSHBUG00000000552	0	0
ENSHBUG00000000553	0	0
ENSHBUG00000000554	1319	1360
ENSHBUG00000000555	1	26
ENSHBUG00000000556	0	0
ENSHBUG00000000557	14	59
ENSHBUG00000000558	1	25
ENSHBUG00000000559	39	42
ENSHBUG00000000560	279	319
ENSHBUG00000000561	30	37
ENSHBUG00000000562	0	0
ENSHBUG00000000563	8	38
ENSHBUG00000000564	0	0
ENSHBUG00000000565	0	0
ENSHBUG00000000566	31	67
ENSHBUG00000000567	0	0
ENSHBUG00000000568	0	0
ENSHBUG00000000569	0	0
ENSHBUG00000000570	1	34
ENSHBUG00000000571	0	0
ENSHBUG00000000572	0	0
ENSHBUG00000000573	2	44
ENSHBUG00000000574	0	0
ENSHBUG00000000575	0	0
ENSHBUG00000000576	0	0
ENSHBUG00000000577	0	0
ENSHBUG00000000578	0	0
ENSHBUG00000000579	2006	2041
ENSHBUG00000000580	3	34
ENSHBUG00000000581	2	31
ENSHBUG00000000582	0	0
ENSHBUG00000000583	0	0
ENSHBUG00000000584	776	811
ENSHBUG00000000585	0	0
ENSHBUG00000000586	0	0
ENSHBUG00000000587	0	0
ENSHBUG00000000588	1	24
ENSHBUG00000000589	0	0
ENSHBUG00000000590	0	0
ENSHBUG00000000591	1	16
ENSHBUG00000000592	0	0
ENSHBUG00000000593	0	0
ENSHBUG00000000594	10	11
ENSHBUG00000000595	3	36
ENSHBUG00000000596	0	0
ENSHBUG00000000597	0	0
ENSHBUG00000000598	0	0
ENSHBUG00000000599	0	0
ENSHBUG00000000600	0	0
ENSHBUG00000000601	0	0
ENSHBUG00000000602	1	17
ENSHBUG00000000603	2	18
ENSHBUG00000000604	1	18
ENSHBUG00000000605	0	0
ENSHBUG00000000606	6	49
ENSHBUG00000000607	0	0
ENSHBUG00000000608	30	41
ENSHBUG00000000609	0	0
ENSHBUG00000000610	0	0
ENSHBUG00000000611	1	39
ENSHBUG00000000612	0	0
ENSHBUG00000000613	0	0
ENSHBUG00000000614	0	0
ENSHBUG00000000615	2	22
ENSHBUG00000000616	31	53
ENSHBUG00000000617	3	21
ENSHBUG00000000618	0	0
ENSHBUG00000000619	105	132
ENSHBUG00000000620	0	0
ENSHBUG00000000621	0	0
ENSHBUG00000000622	0	0
ENSHBUG00000000623	0	0
ENSHBUG00000000624	4	19
ENSHBUG00000000625	0	0
ENSHBUG00000000626	0	0
ENSHBUG00000000627	2	37
ENSHBUG00000000628	0	0
ENSHBUG00000000629	2	34
ENSHBUG00000000630	0	0
ENSHBUG00000000631	7	9
ENSHBUG00000000632	4	51
ENSHBUG00000000633	128	139
ENSHBUG00000000634	0	0
ENSHBUG00000000635	0	0
ENSHBUG00000000636	0	0
ENSHBUG00000000637	0	0
ENSHBUG00000000638	0	0
ENSHBUG00000000639	0	0
ENSHBUG00000000640	0	0
ENSHBUG00000000641	0	0
ENSHBUG00000000642	0	0
ENSHBUG00000000643	1	9
ENSHBUG00000000644	57	75
ENSHBUG00000000645	2	44
ENSHBUG00000000646	3	33
ENSHBUG00000000647	8	51
ENSHBUG00000000648	1	31
ENSHBUG00000000649	68	78
ENSHBUG00000000650	0	0
ENSHBUG00000000651	0	0
ENSHBUG00000000652	0	0
ENSHBUG00000000653	34	58
ENSHBUG00000000654	0	0
ENSHBUG00000000655	0	0
ENSHBUG00000000656	84	108
ENSHBUG00000000657	0	0
ENSHBUG00000000658	0	0
ENSHBUG00000000659	0	0
ENSHBUG00000000660	0	0
ENSHBUG00000000661	0	0
ENSHBUG00000000662	1	25
ENSHBUG00000000663	0	0
ENSHBUG00000000664	1	40
ENSHBUG00000000665	0	0
ENSHBUG00000000666	0	0
ENSHBUG00000000667	0	0
ENSHBUG00000000668	0	0
ENSHBUG00000000669	0	0
ENSHBUG00000000670	0	0
ENSHBUG00000000671	0	0
ENSHBUG00000000672	1	42
ENSHBUG00000000673	2	41
ENSHBUG00000000674	0	0
ENSHBUG00000000675	0	0
ENSHBUG00000000676	595	623
ENSHBUG00000000677	129	160
ENSHBUG00000000678	0	0
ENSHBUG00000000679	1	34
ENSHBUG00000000680	0	0
ENSHBUG00000000681	0	0
ENSHBUG00000000682	0	0
ENSHBUG00000000683	0	0
ENSHBUG00000000684	0	0
ENSHBUG00000000685	0	0
ENSHBUG00000000686	0	0
ENSHBUG00000000687	2	4
ENSHBUG00000000688	8	39
ENSHBUG00000000689	0	0
ENSHBUG00000000690	1	19
ENSHBUG00000000691	0	0
ENSHBUG00000000692	2	48
ENSHBUG00000000693	3	15
ENSHBUG00000000694	4	46
ENSHBUG00000000695	0	0
ENSHBUG00000000696	0	0
ENSHBUG00000000697	0	0
ENSHBUG00000000698	3	30
ENSHBUG00000000699	2	49
ENSHBUG00000000700	6	44
ENSHBUG00000000701	0	0
ENSHBUG00000000702	0	0
ENSHBUG00000000703	2	34
ENSHBUG00000000704	7	31
ENSHBUG00000000705	5	6
ENSHBUG00000000706	0	0
ENSHBUG00000000707	0	0
ENSHBUG00000000708	6	36
ENSHBUG00000000709	6	21
ENSHBUG00000000710	0	0
ENSHBUG00000000711	1	25
ENSHBUG00000000712	0	0
ENSHBUG00000000713	2	44
ENSHBUG00000000714	0	0
ENSHBUG00000000715	0	0
ENSHBUG00000000716	1	13
ENSHBUG00000000717	0	0
ENSHBUG00000000718	347	381
ENSHBUG00000000719	1	16
ENSHBUG00000000720	0	0
ENSHBUG00000000721	0	0
ENSHBUG00000000722	0	0
ENSHBUG00000000723	0	0
ENSHBUG00000000724	0	0
ENSHBUG00000000725	2	39
ENSHBUG00000000726	0	0
ENSHBUG00000000727	2	41
ENSHBUG00000000728	2	21
ENSHBUG00000000729	5	9
ENSHBUG00000000730	0	0
ENSHBUG00000000731	0	0
