Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000787	3	0
ENSMZEG00005000788	13	0
ENSMZEG00005000789	0	0
ENSMZEG00005000790	0	0
ENSMZEG00005000791	3	0
ENSMZEG00005000792	1	0
ENSMZEG00005000793	0	0
ENSMZEG00005000794	0	0
ENSMZEG00005000795	1	0
ENSMZEG00005000796	0	0
ENSMZEG00005000797	0	1
ENSMZEG00005000798	1	1
ENSMZEG00005000799	1	0
ENSMZEG00005000800	10	3
ENSMZEG00005000801	0	3
ENSMZEG00005000802	2	1
ENSMZEG00005000803	0	0
ENSMZEG00005000804	0	0
ENSMZEG00005000805	0	0
ENSMZEG00005000806	0	0
ENSMZEG00005000807	2	0
ENSMZEG00005000808	0	0
ENSMZEG00005000809	0	0
ENSMZEG00005000810	0	0
ENSMZEG00005000811	0	4
ENSMZEG00005000812	181	16
ENSMZEG00005000813	0	4
ENSMZEG00005000814	0	0
ENSMZEG00005000815	7	0
ENSMZEG00005000816	6	5
ENSMZEG00005000817	0	0
ENSMZEG00005000818	0	3
ENSMZEG00005000819	0	2
ENSMZEG00005000820	13	6
ENSMZEG00005000821	0	1
ENSMZEG00005000822	0	0
ENSMZEG00005000823	5	1
ENSMZEG00005000824	223	58
ENSMZEG00005000825	3	0
ENSMZEG00005000826	0	0
ENSMZEG00005000827	0	0
ENSMZEG00005000828	2	9
ENSMZEG00005000829	2	1
ENSMZEG00005000830	0	0
ENSMZEG00005000831	0	0
ENSMZEG00005000832	0	9
ENSMZEG00005000833	0	0
ENSMZEG00005000834	1	5
ENSMZEG00005000835	0	4
ENSMZEG00005000836	0	0
ENSMZEG00005000837	5	0
ENSMZEG00005000838	19	160
ENSMZEG00005000839	0	1
ENSMZEG00005000840	1670	1224
ENSMZEG00005000841	3	0
ENSMZEG00005000842	0	0
ENSMZEG00005000843	0	0
ENSMZEG00005000844	0	0
ENSMZEG00005000845	0	0
ENSMZEG00005000846	0	1
ENSMZEG00005000847	1	0
ENSMZEG00005000848	0	0
ENSMZEG00005000849	7	0
ENSMZEG00005000850	0	0
ENSMZEG00005000851	0	6
ENSMZEG00005000852	0	0
ENSMZEG00005000853	1	0
ENSMZEG00005000854	0	0
ENSMZEG00005000855	1	0
ENSMZEG00005000856	3	0
ENSMZEG00005000857	1	0
ENSMZEG00005000858	0	0
ENSMZEG00005000859	4	26
ENSMZEG00005000860	287	1021
ENSMZEG00005000861	0	0
ENSMZEG00005000862	0	4
ENSMZEG00005000863	0	0
ENSMZEG00005000864	2	0
