Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000705	6	4	6
ENSONIG00000000707	42	1	4
ENSONIG00000000708	0	0	2
ENSONIG00000000709	3	0	0
ENSONIG00000000710	16	29	38
ENSONIG00000000711	2	0	9
ENSONIG00000000712	5	0	9
ENSONIG00000000713	10	0	8
ENSONIG00000000714	0	0	0
ENSONIG00000000715	0	0	1
ENSONIG00000000716	10	0	1
ENSONIG00000000717	1	0	31
ENSONIG00000000720	2	0	0
ENSONIG00000000721	1	7	0
ENSONIG00000000722	2	6	9
ENSONIG00000000723	4	1	21
ENSONIG00000000724	18	0	8
ENSONIG00000000725	5	0	1
ENSONIG00000000726	1	0	64
ENSONIG00000000727	4	1	7
ENSONIG00000000728	0	4	14
ENSONIG00000000729	6	10	439
ENSONIG00000000730	11	6	19
ENSONIG00000000732	3	1	15
ENSONIG00000000734	161	60	100
ENSONIG00000000736	6	0	8
ENSONIG00000000737	1	2	37
ENSONIG00000000738	0	0	4
ENSONIG00000000739	0	0	4
ENSONIG00000000740	0	3	3
ENSONIG00000000742	2	0	3
ENSONIG00000000743	0	11	10
ENSONIG00000000744	0	0	0
ENSONIG00000000745	2	3	13
ENSONIG00000000746	0	2	7
ENSONIG00000000747	5	3	20
ENSONIG00000000748	1	19	19
ENSONIG00000000749	11	3	30
ENSONIG00000000750	129	107	38
ENSONIG00000000751	0	0	1
ENSONIG00000000752	0	1	0
ENSONIG00000000754	3	0	6
ENSONIG00000000755	1	0	0
ENSONIG00000000756	1	4	57
ENSONIG00000000757	1	0	1
ENSONIG00000000758	0	0	8
ENSONIG00000000761	4	1	22
ENSONIG00000000763	1	7	13
ENSONIG00000000764	12	8	7
ENSONIG00000000765	5	5	0
ENSONIG00000000767	2	0	2
ENSONIG00000000768	0	0	0
ENSONIG00000000769	2	9	7
ENSONIG00000000770	26	0	9
ENSONIG00000000771	1	0	0
ENSONIG00000000772	3	0	16
ENSONIG00000000774	0	0	1
ENSONIG00000000776	1	8	13
ENSONIG00000000777	5	0	12
ENSONIG00000000778	2	21	371
